OBJECTID,ALLEY_TRDA,ALLEY_TR_1,XCNTS_VALU,YDNTS_VALU
1,000441,동소문로44길,202560,456264
2,000442,동소문로5길,200593,454456
3,000445,동숭4나길,201025,453418
4,000795,서울시립대로5길,204086,452931
5,000741,삼양로43길,201627,458069
6,000744,삼양로73가길,201370,458721
7,000753,삼양로99길,201455,459909
8,000754,삼일대로32가길,199006,452797
9,000757,삼청로2길,198334,453435
10,000372,독막로19길,193330,449879
11,000373,독막로22길,193785,449740
12,000379,독산로14길,191854,439213
13,000384,독산로28길,191761,439673
14,000392,독산로47길,191445,440301
15,000218,노량진로8길,194538,445878
16,000159,낙성대역10길,196739,441561
17,000162,난계로30길,202314,452644
18,000169,난곡로35길,192758,441322
19,000173,난곡로75길,192317,442894
20,000586,무학봉15가길,202649,451327
21,000658,보문로34나길,201847,454931
22,000667,봉우재로43길,207935,455008
23,000669,봉천로13길,193891,443393
24,000758,삼청로5길,198303,453708
25,000806,서초대로65길,201595,444325
26,000898,숭인로7나길,202211,457155
27,000900,시흥대로102길,191002,440632
28,000400,독산로87길,191343,441586
29,000402,독서당로51길,202306,450067
30,000409,돌곶이로23길,205028,456729
31,000413,돌곶이로39길,204119,457593
32,000178,난향2길,192757,440444
33,000180,남부순환로124길,191436,442167
34,000183,남부순환로145길,192294,442544
35,000187,남부순환로159길,192794,442747
36,000118,광나루로37길,207792,449575
37,000120,광성로4길,194487,449979
38,000122,광운로3길,205036,457734
39,000672,봉천로30길,194708,442682
40,000676,봉화산로30길,207405,455559
41,000678,봉화산로56길,208689,456182
42,000679,부일로15길,185251,443881
43,000901,시흥대로120길,191232,441075
44,000908,시흥대로146길,191122,441584
45,000945,신길로52길,192135,445764
46,000947,신길로60나길,192302,446109
47,000950,신길로9길,191853,443991
48,000417,동광로12가길,198548,443109
49,000452,동일로151길,206720,456540
50,000493,두텁바위로15길,197992,449647
51,000124,광평로19길,207610,442821
52,000125,광평로47길,208801,443186
53,000128,구로동로29길,189627,443485
54,000132,구로중앙로19길,190132,443864
55,000681,북아현로11마길,195637,451368
56,000685,북악산로17길,201797,455487
57,000688,북촌로6길,198765,453420
58,000578,목동중앙북로8라길,187996,449685
59,000692,사가정로13가길,205226,453314
60,000926,시흥대로84라길,191254,440248
61,000801,서초대로33길,199527,443491
62,000802,서초대로34길,199830,443189
63,000804,서초대로4길,198764,442716
64,000830,성덕정7길,204360,448810
65,000503,디지털로32나길,191126,442849
66,000504,디지털로37가길,190962,443419
67,000507,디지털로48가길,191328,443277
68,000513,뚝섬로27길,205814,448769
69,000514,뚝섬로30가길,205775,448415
70,000137,구일로10길,188918,444043
71,000138,구일로4길,189026,443694
72,000339,도봉로23나길,202253,457745
73,000344,도봉로35길,202350,457990
74,000190,남부순환로190길,194159,442669
75,000694,사가정로51길,207660,453670
76,000697,사근동8가길,204194,451216
77,000608,방배로6길,200017,442162
78,000644,보광로5길,200009,447200
79,000835,성북로15길,199998,454808
80,000838,성북로31길,198785,455036
81,000840,성수이로7가길,204876,449084
82,000516,마들로1가길,206067,457574
83,000517,마들로3길,205422,458642
84,000518,마른내로12길,200051,451581
85,000534,마포대로4다길,195085,448475
86,000538,망우로10길,205030,454243
87,000192,남부순환로198길,194430,442702
88,000194,남부순환로208길,194987,442481
89,000199,남부순환로256라길,197655,441394
90,000204,남부순환로337가길,202073,442748
91,000653,보문로19길,201757,453637
92,000654,보문로23길,201672,453785
93,000808,서초중앙로31길,200895,444506
94,000814,석촌호수로18길,208839,445034
95,000816,선릉로6길,205519,442629
96,000976,신반포로15길,199549,445018
97,000977,신반포로3길,198796,444777
98,000980,신원로4길,193692,442295
99,000981,신월로12길,185986,446453
100,000983,신월로16길,186120,446557
101,000984,신이문로24길,205881,455838
102,000541,망우로18다길,205366,454069
103,000545,망우로42길,207305,455016
104,000547,망우로50길,207870,455165
105,000552,면목로33길,207289,452880
106,000555,면목로48길,208046,453622
107,000087,고척로33라길,186626,445306
108,000090,곰달래로19길,186053,448044
109,000094,곰달래로60길,187894,447954
110,000095,공릉로12가길,207254,457532
111,000818,선유로40길,190623,447842
112,000819,선유로43가길,190533,448164
113,000820,선유로9나길,189981,446290
114,000823,선유서로28길,190057,447232
115,000717,삼선교로23길,201097,454463
116,000721,삼성로146길,204314,447018
117,000846,성지길,192382,449770
118,000849,세검정로6나길,196709,455696
119,000852,세무서2나길,195341,454409
120,000855,세종대로2가길,197793,450942
121,000857,소공로6길,198657,450893
122,000557,면목로58길,207945,453888
123,000559,면목로79길,207624,454562
124,000562,면목로92길,207711,455071
125,000566,명지대7길,193159,453812
126,000571,목동중앙남로10길,188297,448784
127,000101,공릉로58가길,206424,459596
128,000102,공릉로59나길,206200,459431
129,000104,공항대로41길,186379,451154
130,000146,금하로14길,191532,439126
131,000612,방화동로5길,183154,451742
132,000613,백범로16길,194900,449707
133,000616,백범로26길,195192,449592
134,000618,백범로87길,197246,448836
135,001078,연서로6길,192674,455892
136,000966,신림로48가길,194030,442233
137,000970,신림로65길,193480,442849
138,000971,신림로70길,193934,443106
139,000573,목동중앙남로13길,188042,448968
140,000574,목동중앙남로4길,188312,448614
141,000577,목동중앙북로7길,188275,449959
142,000521,마장로31길,203347,452056
143,000524,마장로37길,203418,451942
144,000148,금하로23가길,192003,439146
145,000150,금호로13길,201708,450503
146,000156,까치산로12길,186579,449397
147,000207,남부순환로40길,184682,448249
148,000622,백제고분로12길,207114,445070
149,000624,백제고분로19길,207697,445228
150,000625,백제고분로21길,207999,445099
151,000627,백제고분로31길,208451,444982
152,000954,신림동1길,193628,443041
153,000958,신림로14길,194538,441396
154,000916,시흥대로28길,191637,438003
155,000919,시흥대로47길,191253,438894
156,000527,마천로57길,213557,443989
157,000581,무학로14길,202989,452103
158,000582,무학로19길,202584,452409
159,000346,도봉로46길,202508,458355
160,000347,도봉로4길,202832,456842
161,000350,도봉로63길,201982,458805
162,000224,노해로41길,202262,461149
163,000225,노해로65길,203985,461339
164,000630,백제고분로39길,209245,445196
165,000632,백제고분로41길,209456,445415
166,000635,백제고분로46길,210008,445394
167,000637,버드나루로7길,192021,447069
168,000861,솔매로17길,201402,458506
169,000863,솔매로28길,201772,458309
170,000872,솔샘로1길,200341,456549
171,000873,솔샘로24길,200811,457096
172,000048,개봉로3길,186836,443040
173,000050,개포로109길,206844,443817
174,000052,거북골로16길,192291,453083
175,000055,거북골로2길,192898,453074
176,000228,노해로8가길,202056,459967
177,000246,답십리로21길,204211,453066
178,000254,답십리로69가길,206591,453287
179,000256,당곡2가길,193800,443550
180,000265,당산로32길,191045,447472
181,000268,당산로44길,191269,448084
182,000274,대림로29나길,190833,444056
183,000702,사당로17길,197574,442885
184,000703,사당로23나길,197784,443094
185,000706,사직로12길,197431,452856
186,000708,사직로8길,197775,452646
187,000712,사평대로57길,201889,445411
188,000458,동일로183길,206380,458158
189,000463,동일로193길,206290,458464
190,000466,동일로203가길,205671,460042
191,000468,동일로208길,205822,460477
192,000469,동일로217길,205181,461536
193,000471,동일로228길,205174,463317
194,000141,국회대로52길,191722,447247
195,000026,갈현로3길,191809,455679
