,청년다방,돌배기집
가락동,1,0
가리봉동,0,0
가산동,0,0
가양동,0,0
가회동,0,0
갈월동,0,0
갈현동,0,0
강일동,0,0
개봉동,0,0
개포동,0,0
개화동,0,0
거여동,0,0
견지동,0,0
계동,0,0
고덕동,0,0
고척동,0,0
공덕동,0,0
공릉동,0,0
공평동,0,0
공항동,1,0
관수동,0,0
관철동,0,1
관훈동,0,0
광장동,0,0
광희동1가,0,0
광희동2가,0,0
교남동,0,0
교북동,0,0
구기동,0,0
구로동,0,1
구산동,0,0
구수동,0,0
구의동,1,0
군자동,0,0
궁동,0,0
궁정동,0,0
권농동,0,0
금호동1가,0,0
금호동2가,0,0
금호동3가,0,0
금호동4가,0,0
길동,0,0
길음동,0,0
낙원동,0,0
남가좌동,0,0
남대문로1가,0,0
남대문로2가,0,0
남대문로3가,0,0
남대문로4가,0,0
남대문로5가,0,0
남산동1가,0,0
남산동2가,0,0
남산동3가,0,0
남영동,0,0
남창동,0,0
남현동,0,0
내곡동,0,0
내발산동,0,0
내수동,0,0
내자동,0,0
냉천동,0,0
노고산동,0,0
노량진동,0,0
녹번동,0,0
논현동,0,0
누하동,0,0
능동,0,0
다동,0,0
답십리동,0,0
당산동,0,0
당산동1가,0,0
당산동2가,0,0
당산동3가,0,0
당산동4가,0,0
당산동5가,0,1
당산동6가,0,0
당주동,0,0
대림동,0,0
대방동,0,0
대신동,0,0
대조동,0,0
대치동,0,1
대현동,1,0
대흥동,0,0
도곡동,0,0
도렴동,0,0
도림동,0,0
도봉동,0,0
도선동,0,0
도화동,0,0
독산동,0,0
돈암동,0,0
돈의동,0,0
동교동,0,0
동빙고동,0,0
동선동1가,0,1
동선동2가,0,0
동선동3가,0,0
동선동4가,0,0
동선동5가,0,0
동소문동1가,0,0
동소문동2가,0,0
동소문동3가,0,0
동소문동4가,0,0
동소문동5가,0,0
동소문동6가,0,0
동소문동7가,0,0
동숭동,0,0
동자동,0,0
동작동,0,0
둔촌동,0,0
등촌동,0,0
마곡동,3,0
마장동,0,0
마천동,0,0
마포동,0,0
만리동1가,0,0
만리동2가,0,0
망우동,0,0
망원동,0,0
면목동,0,0
명동1가,0,0
명동2가,0,1
명륜1가,0,0
명륜2가,0,0
명륜3가,0,0
명륜4가,0,0
명일동,0,0
목동,0,0
묘동,0,0
무교동,0,0
무악동,0,0
무학동,0,0
묵동,0,0
묵정동,0,0
문래동1가,0,0
문래동2가,0,0
문래동3가,0,0
문래동4가,0,0
문래동5가,0,0
문래동6가,0,0
문배동,0,0
문정동,2,0
미근동,0,0
미아동,0,0
반포동,0,0
방배동,0,1
방이동,1,0
방학동,0,0
방화동,0,0
번동,0,0
보광동,0,0
보문동2가,0,0
보문동4가,0,0
보문동5가,0,0
보문동6가,0,0
보문동7가,0,0
본동,0,0
봉래동1가,0,0
봉래동2가,0,0
봉익동,0,0
봉천동,0,0
부암동,0,0
북가좌동,0,0
북아현동,0,0
북창동,0,0
불광동,0,0
사간동,0,0
사근동,0,0
사당동,0,1
사직동,0,0
산천동,0,0
삼선동1가,0,0
삼선동2가,0,0
삼선동3가,0,0
삼선동4가,0,0
삼선동5가,0,0
삼성동,0,0
삼전동,1,0
삼청동,0,0
상계동,0,1
상도1동,0,0
상도동,1,0
상봉동,0,0
상수동,0,0
상암동,0,0
상왕십리동,0,0
상월곡동,0,0
상일동,0,0
서계동,0,0
서교동,0,0
서린동,0,0
서빙고동,0,0
서소문동,0,0
서초동,0,1
석관동,0,0
석촌동,0,0
성내동,0,0
성북동,0,0
성산동,1,0
성수동1가,0,0
성수동2가,1,0
세곡동,0,0
세종로,0,0
소격동,0,0
소공동,0,0
송정동,0,0
송파동,1,0
송현동,0,0
수색동,0,0
수서동,0,0
수송동,0,0
수유동,1,0
수표동,0,0
수하동,0,0
순화동,0,0
숭인동,0,0
시흥동,0,0
신계동,0,0
신공덕동,0,0
신교동,0,0
신길동,0,0
신내동,0,0
신당동,0,0
신대방동,0,0
신도림동,0,0
신림동,0,0
신문로1가,0,0
신문로2가,0,0
신사동,0,0
신설동,0,0
신수동,0,0
신영동,0,0
신원동,0,0
신월동,0,0
신정동,1,0
신천동,0,0
신촌동,0,0
쌍림동,0,0
쌍문동,0,0
아현동,1,0
안국동,0,0
안암동1가,0,0
안암동2가,0,0
안암동3가,0,0
안암동4가,0,0
안암동5가,1,0
암사동,0,0
압구정동,0,0
양재동,0,0
양평동1가,0,0
양평동2가,0,0
양평동3가,0,0
양평동4가,0,0
양평동5가,0,0
양평동6가,0,0
양화동,0,0
여의도동,0,0
역삼동,0,0
역촌동,0,0
연건동,0,0
연남동,0,0
연지동,0,0
연희동,0,0
염리동,0,0
염창동,0,0
영등포동,0,0
영등포동1가,0,0
영등포동2가,0,0
영등포동3가,0,0
영등포동4가,0,0
영등포동5가,0,0
영등포동6가,0,0
영등포동7가,0,0
영등포동8가,0,0
영천동,0,0
예관동,0,0
예장동,0,0
예지동,0,0
오금동,0,0
오류동,0,0
오장동,0,0
옥수동,0,0
옥인동,0,0
옥천동,0,0
온수동,0,0
와룡동,0,0
외발산동,0,0
용강동,0,0
용답동,0,0
용두동,0,0
용문동,0,0
용산동2가,0,0
용산동3가,0,0
용산동5가,0,0
용산동6가,0,0
우면동,0,0
우이동,0,0
운니동,0,0
원남동,0,0
원서동,0,0
원지동,0,0
원효로1가,0,0
원효로2가,0,0
원효로3가,0,0
원효로4가,0,0
월계동,0,0
율현동,0,0
을지로1가,0,0
을지로2가,0,0
을지로3가,0,0
을지로4가,0,0
을지로5가,0,0
을지로6가,0,0
을지로7가,0,0
응봉동,0,0
응암동,0,0
의주로1가,0,0
이문동,0,0
이촌동,0,0
이태원동,0,0
이화동,0,0
익선동,0,0
인사동,0,0
인의동,0,0
인현동1가,0,0
인현동2가,0,0
일원동,0,0
입정동,0,0
자곡동,0,0
자양동,1,0
잠실동,0,0
잠원동,0,0
장교동,0,0
장안동,1,0
장위동,0,0
장지동,0,0
장충동1가,0,0
장충동2가,0,0
재동,0,0
저동1가,0,0
저동2가,0,0
적선동,0,0
전농동,1,0
정동,0,0
정릉동,0,0
제기동,0,0
종로1가,0,0
종로2가,0,0
종로3가,0,0
종로4가,0,0
종로5가,0,0
종로6가,0,0
종암동,0,0
주교동,0,0
중계동,0,0
중곡동,1,0
중동,0,0
중림동,0,0
중학동,0,0
중화동,0,0
증산동,0,0
진관동,0,0
창동,0,0
창성동,0,0
창신동,0,0
창전동,0,0
창천동,0,1
천연동,0,0
천왕동,0,0
천호동,1,0
청담동,0,0
청량리동,0,0
청진동,0,0
청파동1가,0,0
청파동2가,0,0
청파동3가,0,0
체부동,0,0
초동,0,0
충무로1가,0,0
충무로2가,0,0
충무로3가,0,0
충무로4가,0,0
충무로5가,0,0
충정로1가,0,0
충정로2가,0,0
충정로3가,0,0
태평로1가,0,0
태평로2가,0,0
통의동,0,0
통인동,0,0
팔판동,0,0
평동,0,0
평창동,0,0
풍납동,0,0
필동1가,0,0
필동2가,0,0
필동3가,0,0
필운동,0,0
하계동,0,0
하왕십리동,0,0
하월곡동,0,0
한강로1가,0,0
한강로2가,1,0
한강로3가,0,0
한남동,0,0
합동,0,0
합정동,0,0
항동,0,0
행당동,0,0
혜화동,0,0
홍은동,0,0
홍익동,0,0
홍제동,0,0
홍지동,0,0
홍파동,0,0
화곡동,1,0
화동,0,0
화양동,0,0
황학동,0,0
회기동,0,0
회현동1가,0,0
회현동2가,0,0
회현동3가,0,0
효자동,0,0
효제동,0,0
효창동,0,0
후암동,0,0
휘경동,0,0
흑석동,0,0
흥인동,0,0
